State,Hospital name,Establishment ID,Medicare Provider No.,Local Hospital Network identifier,Local Hospital Network,Address Line 1,Address Line 2,asgc_ra,Remoteness area,Number of available beds,2012-13 Peer Group code,Peer Group Name,Provided data for NPHED,Provided data for NHMD,Provided data for NAPEDCD,Provided data for ESWT,Provided data for NNAPCD,IHPA funding designation
NSW,Bowral,1171N2190,0010690H,103,South Western Sydney,Lot 3 Mona                                          Rd,Bowral                                                 2576,1,Inner Regional,71,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Braeside,1171D2280,0012830W,103,South Western Sydney,340 Prairie Vale                                  Rd,Prairiewood                                            2176,0,Major Cities,71,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Braidwood (MPS),1183N2050,0010790B,113,Southern NSW,77 Monkittee                                     St,Braidwood                                              2622,1,Inner Regional,30.6,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Brewarrina (MPS),1185K2020,0010820L,112,Western NSW,56 Doyle                                         St,Brewarrina                                             2839,4,Very remote,20,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Broken Hill,1186S2010,0010830K,115,Far West,176 Thomas                                        St,Broken Hill                                            2880,2,Outer Regional,121.2,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Bulahdelah - Myall Lakes,1180J2230,0010840J,109,Hunter New England,1 Richmond                                      St,Bulahdelah                                             2423,1,Inner Regional,0,VS,Very small,Yes,No,Yes,No,Yes,Block-funded hospital
NSW,Bulli,1173P2020,0010850H,108,Illawarra Shoalhaven,33A Hospital                                      Rd,Bulli                                                  2516,0,Major Cities,52.7,S1,Public acute group C,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Byron Central Hospital,1163G8080,0012900X,111,Northern NSW,54 Ewingsdale                                    Rd,Byron Bay                                              2481,1,Inner Regional,33.2,S1,Public acute group C,Yes,No,No,No,No,Block-funded hospital
NSW,Calvary,1172C2020,0012520J,101,South Eastern Sydney,91 Rocky Point                                   Rd,Kogarah                                                2217,0,Major Cities,109,N2,Rehabilitation and GEM,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Calvary Mater Newcastle,1180Q2110,0011870W,109,Hunter New England,4 Edith                                         St,Waratah                                                2298,0,Major Cities,186.2,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Camden,1171D2050,0010870B,103,South Western Sydney,65 Menangle                                      Rd,Camden                                                 2570,0,Major Cities,56.6,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Activity-based funded hospital
NSW,Campbell Coraki,1181H2050,0010880A,111,Northern NSW,1 Spring                                        St,Coraki                                                 2471,1,Inner Regional,0,VS,Very small,Yes,No,No,No,Yes,Block-funded hospital
NSW,Campbelltown,1171D2150,0012750W,103,South Western Sydney,1 Therry                                        Rd,Campbelltown                                           2560,0,Major Cities,411.3,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Canowindra,1185L2030,0010890Y,112,Western NSW,1 Browns                                        Ave,Canowindra                                             2804,1,Inner Regional,10.2,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Canterbury,1170A2020,0010090J,102,Sydney,575 Canterbury                                    Rd,Campsie                                                2194,0,Major Cities,169.7,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Casino,1181H2060,0010920J,111,Northern NSW,1 Hotham                                        St,Casino                                                 2470,1,Inner Regional,26,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Cessnock,1180Q2020,0010940F,109,Hunter New England,Lot 1 View                                          St,Cessnock                                               2325,1,Inner Regional,48.5,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Children's Hospital Westmead,1163A2070,0010300T,117,Sydney Children's Hospitals Network,178 Hawkesbury                                    Rd,Westmead                                               2145,0,Major Cities,278.6,W3,Childrens,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Cobar,1185K2030,0010950B,112,Western NSW,1 Lerida                                        Rd,Cobar                                                  2835,3,Remote,10,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Coffs Harbour,1182H2080,0010960A,110,Mid North Coast,345 Pacific                                       Hwy,Coffs Harbour                                          2450,1,Inner Regional,268.9,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Coledale,1173P2030,0010970Y,108,Illawarra Shoalhaven,636 Lawrence Hargrave                             Dr,Coledale                                               2515,0,Major Cities,38,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Collarenebri (MPS),1185K2040,0010980X,112,Western NSW,1 Walgett                                       St,Collarenebri                                           2833,3,Remote,13,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Concord,1170A2370,0012720A,102,Sydney,1a Hospital                                      Rd,Concord West                                           2139,0,Major Cities,678.7,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Condobolin,1185L2050,0010990W,112,Western NSW,1 Madline                                       St,Condobolin                                             2877,2,Outer Regional,22,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Coolah (MPS),1185K2050,0011000X,112,Western NSW,111 Martin                                        St,Coolah                                                 2843,2,Outer Regional,26.9,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Coolamon (MPS),1184R2100,0011520W,114,Murrumbidgee,1 Buchanan                                      Dr,Coolamon                                               2701,1,Inner Regional,14.1,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Cooma HS,1183N2060,0011010W,113,Southern NSW,1 Bent                                          St,Cooma                                                  2630,1,Inner Regional,35.7,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Coonabarabran,1185K2060,0011020T,112,Western NSW,101 Edwards                                       St,Coonabarabran                                          2357,2,Outer Regional,16.6,S2,Public acute group D,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Coonamble (MPS),1185K2090,0011050J,112,Western NSW,150 Castlereagh                                   St,Coonamble                                              2829,3,Remote,22.9,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Cootamundra,1184R2210,0011070F,114,Murrumbidgee,120 MacKay                                        St,Cootamundra                                            2590,1,Inner Regional,24.5,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Coral Tree Family Centre,1476B2410,,106,Northern Sydney,Pacific                                       Hwy,North Ryde                                             2113,0,Major Cities,10.1,Ps,Psychiatric,Yes,Yes,No,No,No,Block-funded hospital
NSW,Corowa (MPS),1184M2060,0011080B,114,Murrumbidgee,53 Guy                                           St,Corowa                                                 2646,1,Inner Regional,50.5,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Cowra,1185L2060,0011090A,112,Western NSW,64 Liverpool                                     St,Cowra                                                  2794,1,Inner Regional,37.6,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Crookwell,1183N2070,0011100T,113,Southern NSW,17 Kialla                                        Rd,Crookwell                                              2583,1,Inner Regional,18,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Culcairn (MPS),1184M2050,0011120K,114,Murrumbidgee,51 Balfour                                       St,Culcairn                                               2660,1,Inner Regional,27,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Cumberland,1474D1020,0012880H,104,Western Sydney,1 Hainsworth                                    St,Westmead                                               2145,0,Major Cities,310,Ps,Psychiatric,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,David Berry,1173P2910,0011130J,108,Illawarra Shoalhaven,85 Tannery                                       Rd,Berry                                                  2535,1,Inner Regional,26,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Delegate (MPS),1183N2080,0011140H,113,Southern NSW,15 Craigie                                       St,Delegate                                               2633,2,Outer Regional,13.1,VS,Very small,Yes,No,Yes,No,Yes,Block-funded hospital
NSW,Deniliquin,1184M2070,0011150F,114,Murrumbidgee,411 Charlotte                                     St,Deniliquin                                             2710,1,Inner Regional,35.1,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Denman (MPS),1180Q2100,0010810T,109,Hunter New England,51 Ogilvie                                       St,Denman                                                 2328,1,Inner Regional,17,VS,Very small,Yes,No,Yes,No,Yes,Block-funded hospital
NSW,Dorrigo (MPS),1182H2090,0011160B,110,Mid North Coast,14 Beech                                         St,Dorrigo                                                2453,2,Outer Regional,26.9,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Dubbo,1185K2110,0011170A,112,Western NSW,1 Myall                                         St,Dubbo                                                  2830,1,Inner Regional,160.5,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Dunedoo (MPS),1185K2120,0011180Y,112,Western NSW,70 Digilah                                       St,Dunedoo                                                2844,2,Outer Regional,29.9,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Dungog,1180Q2030,0011190X,109,Hunter New England,58 Hospital                                      Rd,Dungog                                                 2420,1,Inner Regional,15,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Eugowra (MPS),1185L2080,0011200K,112,Western NSW,1 Cooper                                        St,Eugowra                                                2806,2,Outer Regional,14,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Fairfield,1171D2060,0010110Y,103,South Western Sydney,360 Prairie Vale                                  Rd,Prairiewood                                            2176,0,Major Cities,199.9,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Finley,1184M2080,0011210J,114,Murrumbidgee,24 Dawe                                          Ave,Finley                                                 2713,1,Inner Regional,15.6,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Forbes,1185L2090,0011220H,112,Western NSW,Lot 1 Elgin                                         St,Forbes                                                 2871,2,Outer Regional,29.2,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Gilgandra (MPS),1185K2130,0011230F,112,Western NSW,6 Chelmsford                                    Ave,Gilgandra                                              2827,2,Outer Regional,31,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Glen Innes,1180J2050,0011240B,109,Hunter New England,94 Taylor                                        St,Glen Innes                                             2370,2,Outer Regional,31.3,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Gloucester,1180J2240,0011250A,109,Hunter New England,166 Church                                        St,Gloucester                                             2422,1,Inner Regional,81,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Goodooga,1185K2140,0011260Y,112,Western NSW,49 Hammond                                       St,Goodooga                                               2831,4,Very remote,0,OT,Outpatient hospital,Yes,No,No,No,No,Block-funded hospital
NSW,Gosford,1177B2020,0011270X,107,Central Coast,76 Holden                                        St,Gosford                                                2250,0,Major Cities,482,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Goulburn,1183N2090,0011280W,113,Southern NSW,130 Goldsmith                                     St,Goulburn                                               2580,1,Inner Regional,134.8,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Gower Wilson (MPS),1172C2050,0011290T,101,South Eastern Sydney,1 Lagoon                                        Rd,Lord Howe Island                                       2898,4,Very remote,0,VS,Very small,Yes,Yes,No,No,Yes,Block-funded hospital
NSW,Grafton,1181H2100,0011300H,111,Northern NSW,174 Arthur                                        St,Grafton                                                2460,1,Inner Regional,95.3,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Greenwich,1176B2080,0012510K,106,Northern Sydney,97 River                                         Rd,Greenwich                                              2065,0,Major Cities,38.4,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Grenfell (MPS),1185L2100,0011320B,112,Western NSW,80 Cowra                                         Rd,Grenfell                                               2810,2,Outer Regional,42.8,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Griffith,1184R2050,0011340Y,114,Murrumbidgee,1 Noorebar                                      Ave,Griffith                                               2680,2,Outer Regional,89.6,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Gulargambone (MPS),1185K2100,0011060H,112,Western NSW,47 Bourbah                                       St,Gulargambone                                           2828,2,Outer Regional,12,VS,Very small,Yes,No,Yes,No,Yes,Block-funded hospital
NSW,Gulgong (MPS),1185K2150,0011350X,112,Western NSW,112 Mayne                                         St,Gulgong                                                2852,2,Outer Regional,0,OT,Outpatient hospital,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Gundagai (MPS),1184R2060,0011360W,114,Murrumbidgee,50 Tor                                           St,Gundagai                                               2722,1,Inner Regional,30,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Gunnedah,1180J2060,0011370T,109,Hunter New England,2 Marquis                                       St,Gunnedah                                               2380,2,Outer Regional,35.5,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Guyra (MPS),1180J2070,0011380L,109,Hunter New England,44 Sole                                          St,Guyra                                                  2365,2,Outer Regional,22,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Hawkesbury,1175D2290,0017140B,105,Nepean Blue Mountains,Cnr Macquarie and Day                         St,Windsor                                                2756,0,Major Cities,96.8,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Hay,1184R2070,0011410A,114,Murrumbidgee,351 Murray                                        St,Hay                                                    2711,2,Outer Regional,28,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Henty (MPS),1184M2090,0011430X,114,Murrumbidgee,7 Keighran                                      St,Henty                                                  2658,1,Inner Regional,15,VS,Very small,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Hillston (MPS),1184R2080,0011440W,114,Murrumbidgee,48C Burns                                         St,Hillston                                               2675,3,Remote,5,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Holbrook (MPS),1184M2100,0011450T,114,Murrumbidgee,1 Bowler                                        St,Holbrook                                               2644,1,Inner Regional,24.6,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Hornsby and Ku-Ring-Gai,1176B2100,0010140T,106,Northern Sydney,36 Palmerston                                    Rd,Hornsby                                                2077,0,Major Cities,273.3,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Hunter New England Mater Mental Health S,1480Q1020,0012890F,109,Hunter New England,72 Watt                                          St,Newcastle                                              2300,0,Major Cities,119.5,Ps,Psychiatric,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Illawarra Mental Health Services,1173P2170,,108,Illawarra Shoalhaven,15 Madigan                                       BVD,Shellharbour Square                                    2529,0,Major Cities,0,O5,Unpeered,Yes,No,No,No,Yes,Block-funded hospital
NSW,Inverell,1180J2080,0011460L,109,Hunter New England,41 Swanbrook                                     Rd,Inverell                                               2360,2,Outer Regional,43.6,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Ivanhoe,1186S2020,0011490H,115,Far West,1 Columbus                                      St,Ivanhoe                                                2878,4,Very remote,0,OT,Outpatient hospital,Yes,No,Yes,No,Yes,Block-funded hospital
NSW,Jerilderie (MPS),1184M2110,0011500Y,114,Murrumbidgee,33 Southey                                       St,Jerilderie                                             2716,2,Outer Regional,15,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,John Hunter,1180Q2300,0012790J,109,Hunter New England,83 Lookout                                       Rd,New Lambton Heights                                    2305,0,Major Cities,820.7,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Junee (MPS),1184R2090,0011510X,114,Murrumbidgee,67 Broadway                                      St,Junee                                                  2663,1,Inner Regional,37,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Justice Health,1117C1010,0012860K,119,Justice Health & Forensic Mental Health,Anzac                                         Pde,Malabar                                                2036,0,Major Cities,345.9,Ps,Psychiatric,Yes,Yes,No,No,No,Block-funded hospital
NSW,Karitane Mothercraft Society,1171C2030,0010150L,103,South Western Sydney,53 Mitchell                                      St,Carramar                                               2163,0,Major Cities,18.6,O1,Early parenting centres,Yes,Yes,No,No,Yes,Block-funded hospital
NSW,Kenmore,1483N1010,,113,Southern NSW,Taralga                                       Rd,Goulburn                                               2580,1,Inner Regional,28.9,Ps,Psychiatric,Yes,Yes,No,No,No,Block-funded hospital
NSW,Kiama,1173P2040,,108,Illawarra Shoalhaven,1 Bonaira                                       St,Kiama                                                  2533,1,Inner Regional,17.9,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Block-funded hospital
NSW,Kurri Kurri,1180Q2050,0011540L,109,Hunter New England,432 Lang                                          St,Kurri Kurri                                            2327,0,Major Cities,50.9,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Kyogle (MPS),1181H2130,0011550K,111,Northern NSW,199 Sumerland Way,Kyogle                                                 2474,1,Inner Regional,40,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Lake Cargelligo (MPS),1184L2120,0011560J,114,Murrumbidgee,1 Uabba                                         St,Lake Cargelligo                                        2672,3,Remote,21.9,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Leeton,1184R2110,0011570H,114,Murrumbidgee,1 Wade                                          Ave,Leeton                                                 2705,2,Outer Regional,63,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital
NSW,Lightning Ridge (MPS),1185K2310,0012850L,112,Western NSW,Lot 25 Pandora                                       St,Lightning Ridge                                        2834,3,Remote,24,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Lismore,1181H2140,0011590B,111,Northern NSW,60 Uralba                                        St,Lismore                                                2480,1,Inner Regional,251.5,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Lithgow,1175L2130,0011600W,105,Nepean Blue Mountains,2 Col Drewe                                     Dr,Lithgow                                                2790,1,Inner Regional,89.5,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Liverpool,1171D2090,0010200X,103,South Western Sydney,Lot 2 Elizabeth                                     St,Liverpool                                              2170,0,Major Cities,791.1,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Lockhart (MPS),1184R2130,0011610T,114,Murrumbidgee,53 Hebden                                        St,Lockhart                                               2656,2,Outer Regional,5.1,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Long Jetty,1177B2040,0012680T,107,Central Coast,Wyong                                         Rd,Long Jetty                                             2261,0,Major Cities,20.3,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Lourdes Dubbo,1185K7510,0012840T,112,Western NSW,110 Cobbora                                       Rd,Dubbo                                                  2830,1,Inner Regional,28.8,N2,Rehabilitation and GEM,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Macksville,1182H2160,0011820F,110,Mid North Coast,14 Boundary                                      St,Macksville                                             2447,2,Outer Regional,44.2,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Maclean,1181H2170,0011630K,111,Northern NSW,21 Union                                         St,Maclean                                                2463,1,Inner Regional,39.2,S1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Macleay Valley - Kempsey,1182H2120,0011640J,110,Mid North Coast,119 River                                         St,Kempsey                                                2440,1,Inner Regional,74.2,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Macquarie,1476B1010,0012910W,106,Northern Sydney,1 Wicks                                         Rd,North Ryde                                             2113,0,Major Cities,193.8,Ps,Psychiatric,Yes,Yes,No,No,Yes,Activity-based funded hospital
NSW,Maitland,1180Q2060,0011650H,109,Hunter New England,550 High                                          St,Maitland                                               2320,0,Major Cities,174.9,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Manilla (MPS),1180J2110,0011670B,109,Hunter New England,143 Court                                         St,Manilla                                                2346,2,Outer Regional,52,S2,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital
NSW,Manly,1176B2120,0010220T,106,Northern Sydney,150 Darley                                        Rd,Manly                                                  2095,0,Major Cities,138.2,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
NSW,Manning,1180J2250,0011680A,109,Hunter New England,26 York                                          St,Taree                                                  2430,1,Inner Regional,185.5,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
